id,name
0,(VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 1.5 turn off
1,(VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 0.5 turn off
2,(VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 1 turn off
3,(VT) round-off, flic-flac with 0.5 turn on, stretched salto forward with 2 turn off
4,(VT) round-off, flic-flac with 0.5 turn on, 0.5 turn to piked salto backward off
5,(VT) round-off, flic-flac with 0.5 turn on, piked salto forward with 0.5 turn off
6,(VT) round-off, flic-flac with 0.5 turn on, piked salto forward off
7,(VT) round-off, flic-flac with 0.5 turn on, tucked salto forward with 0.5 turn off
8,(VT) round-off, flic-flac with 1 turn on, stretched salto backward with 1 turn off
9,(VT) round-off, flic-flac with 1 turn on, piked salto backward off
10,(VT) round-off, flic-flac on, stretched salto backward with 2 turn off
11,(VT) round-off, flic-flac on, stretched salto backward with 1 turn off
12,(VT) round-off, flic-flac on, stretched salto backward with 1.5 turn off
13,(VT) round-off, flic-flac on, stretched salto backward with 0.5 turn off
14,(VT) round-off, flic-flac on, stretched salto backward with 2.5 turn off
15,(VT) round-off, flic-flac on, stretched salto backward off
16,(VT) round-off, flic-flac on, piked salto backward off
17,(VT) round-off, flic-flac on, tucked salto backward off
18,(VT) tsukahara stretched with 2 turn
19,(VT) tsukahara stretched with 1 turn
20,(VT) tsukahara stretched with 1.5 turn
21,(VT) tsukahara stretched with 0.5 turn
22,(VT) tsukahara stretched salto
23,(VT) tsukahara stretched without salto
24,(VT) tsukahara piked
25,(VT) tsukahara tucked with 1 turn
26,(VT) tsukahara tucked
27,(VT) handspring forward on, stretched salto forward with 1.5 turn off
28,(VT) handspring forward on, stretched salto forward with 0.5 turn off
29,(VT) handspring forward on, stretched salto forward with 1 turn off
30,(VT) handspring forward on, piked salto forward with 0.5 turn off
31,(VT) handspring forward on, piked salto forward with 1 turn off
32,(VT) handspring forward on, piked salto forward off
33,(VT) handspring forward on, tucked salto forward with 0.5 turn off
34,(VT) handspring forward on, tucked salto forward with 1 turn off
35,(VT) handspring forward on, tucked double salto forward off
36,(VT) handspring forward on, tucked salto forward off
